channel_name,channel_id,status,source,discovered_query,subscriber_count,channel_view_count,video_count,recent_llm_ratio,avg_recent_views,best_recent_video_views,score,weeks_below_threshold,last_seen
Sebastian Raschka,UC_CzsS7UTjcxJ-xXp1ftxtA,promoted,auto,large language model,84800,2925724,305,1.0,46915,138479,0.757,0,2026-04-21
Claude,UCV03SRZXJEz-hchIAogeJOg,promoted,auto,claude ai,197000,5939029,37,1.0,156900,645830,0.755,0,2026-04-21
Anthropic,UCrDwWp7EBBv4NwvScIpBDOA,candidate,auto,anthropic|claude ai,547000,23507213,172,0.9,346680,670288,0.746,1,2026-04-21
OpenAI,UCXZCJLdBC09xxGZ6gcdrc6A,candidate,auto,openai,1930000,111499880,501,0.9,232199,2185163,0.682,1,2026-04-21
LLM Haven,UCdLYMxVUDGGnPkPSC5z7yRQ,candidate,auto,llm,8490,1164840,159,1.0,12119,20377,0.646,1,2026-04-21
Rafa Voss | Claude & AI,UCbSAFcj6mhbAfREWVC5o6PQ,candidate,auto,claude ai,77200,2573485,139,1.0,15109,34890,0.642,1,2026-04-21
AI Code Clash,UCHGFRElhzCWc2xLS3zfJ5HQ,candidate,auto,ai coding|claude ai|gemini ai,5840,9549778,33,1.0,58999,310831,0.624,1,2026-04-21
Alex Ziskind,UCajiMK_CY9icRhLepS8_3ug,candidate,auto,large language model|llm,492000,98320924,1128,1.0,152192,387469,0.623,1,2026-04-21
Nate Herk | AI Automation,UC2ojq-nuP8ceeHqiroeKhBA,candidate,auto,llm,675000,32092846,394,1.0,95071,174426,0.619,1,2026-04-21
FatherPhi,UCIw9p-0zI1rEPEs_SS6fDkg,candidate,auto,ai coding,147000,89743732,403,1.0,171989,659928,0.613,1,2026-04-21
Google Brasil,UCf2qcg2_6N5ltXnqu1-4Fmg,candidate,auto,gemini ai,1350000,3949167238,817,0.9,4189078,41884521,0.601,1,2026-04-21
AI News & Strategy Daily | Nate B Jones,UC0C-17n9iuUQPylguM1d-lQ,candidate,auto,ai news,266000,17924782,911,0.9,24920,66539,0.589,1,2026-04-21
Tommy - Claude Ai Developer,UCYr1E3ALRxYvWqTnCHo8avA,candidate,auto,claude ai,1020,5080,1,1.0,5084,5084,0.586,1,2026-04-21
AI News,UCDZfn935vwaahDabsfylfIQ,candidate,auto,ai news,92300,10418110,466,0.9,4493,12555,0.582,1,2026-04-21
AI Code Arena,UCPb-8VQEkbbyjTPbVObvn1Q,candidate,auto,ai coding,12000,15593240,63,0.9,15768,33429,0.581,1,2026-04-21
AICodeKing,UC0m81bQuthaQZmFbXEY9QSw,candidate,auto,ai coding,127000,14142789,858,1.0,11956,32238,0.573,1,2026-04-21
Under The Hood,UC1Fbs79pHFvgwt4b2YA-ehQ,candidate,auto,large language model,14400,297607,11,0.9,29753,103916,0.564,1,2026-04-21
仮想通貨×AIエージェント大吉のClaude Code投資ラボ,UCSNgMVSqfZl--GABZ9W-dlA,candidate,auto,claude ai,12100,1496,8,1.0,194,254,0.562,1,2026-04-21
LLM RAG dev (AI),UCK0V0K_q-GQqwqmGMbVn6kw,candidate,auto,llm,1570,62107,106,0.9,778,3899,0.561,1,2026-04-21
unprompted,UC5GCrYGsm7EHQzQZj65A-5w,candidate,auto,large language model|llm,10000,365196,59,1.0,3676,18443,0.561,1,2026-04-21
Lapaas Tech ,UCfhDCkEAONCjFI_cNzacAmw,candidate,auto,ai news,38400,4108994,264,1.0,8909,18477,0.558,1,2026-04-21
Fireship,UCsBjURrPoezykLs9EqgamOA,candidate,auto,ai coding|ai news|anthropic|claude ai|large language model,4190000,692723354,804,0.7,1059228,3162340,0.552,1,2026-04-21
The AI Daily Brief: Artificial Intelligence News,UCKelCK4ZaO6HeEI1KQjqzWA,candidate,auto,ai news,578000,10994747,1380,0.9,5370,8863,0.546,1,2026-04-21
AI Coding Daily,UCIuDdCJXnKZb4CUzhVO-DcQ,candidate,auto,ai coding,9350,636182,149,1.0,5524,13332,0.538,1,2026-04-21
LLM gaming,UC3ql52zZ1gu4nu4rmuVIEJg,candidate,auto,llm,71,27060,34,1.0,1376,2590,0.514,1,2026-04-21
